akida_accuracy,float_accuracy,latency_ms,qat_accuracy,reg,reg_type,sparsity
0.9591,0.9913,,0.9676,1.5e-06,l1l2,0.7444
0.9425,0.9899,,0.9481,2e-06,l1l2,0.7592
