tag,reg,prune_target,accuracy,sparsity,params
baseline,0.0,0.0,0.8914332389831543,0.5190775398375497,226906
activation_only,3.6,0.0,0.8731867671012878,0.8011729600694444,226906
structured_only,0.0,0.4,0.8610528111457825,0.5397736546397086,112879
joint,3.6,0.4,0.852476954460144,0.7757893376677731,112879
activation_light,1.5,0.0,0.8816713690757751,0.7107057969835068,226906
structured_light,0.0,0.2,0.8844996094703674,0.5292907670264498,164162
joint_light,1.5,0.2,0.8792080879211426,0.6940209950110529,164162
joint_medium,2.5,0.3,0.8706322312355042,0.7474691105185806,137836
