akida_accuracy,float_accuracy,latency_ms,qat_accuracy,reg,reg_type,sparsity
0.9263,0.9505,,0.9261,0.0001,hoyer_square,0.713
0.6215,0.6215,,0.6215,0.001,hoyer_square,0.8186
0.6215,0.6215,,0.6215,0.01,hoyer_square,0.8394
