tag,reg,prune_target,accuracy,sparsity,params
baseline,0.0,0.0,0.9972375631332397,0.5173348382028593,1156054
activation_only,36,0.0,0.9830570816993713,0.8305108931560905,1156054
structured_only,0.0,0.4,0.9832412600517273,0.5686859870574347,711624
joint,36,0.4,0.8014733195304871,0.8141177344433171,711624
activation_light,15.0,0.0,0.9885819554328918,0.7678544691020939,1156054
structured_light,0.0,0.2,0.9950276017189026,0.5499835573170293,913771
joint_light,15.0,0.2,0.9780847430229187,0.7593874661852643,913771
joint_long_finetune,36.0,0.4,0.9348066449165344,0.8316542408535735,711624
