akida_accuracy,float_accuracy,latency_ms,qat_accuracy,reg,reg_type,sparsity
0.882,0.8911,,0.8837,0.036,hoyer_square_norm,0.5266
0.8778,0.8882,,0.8765,0.36,hoyer_square_norm,0.5546
0.859,0.8661,,0.8622,3.6,hoyer_square_norm,0.7035
