tag,reg,prune_target,accuracy,sparsity,params
baseline,0.0,0.0,0.9603049159049988,0.646591975,22668
activation_only,0.0001,0.0,0.9513957500457764,0.8037604,22668
structured_only,0.0,0.4,0.9469411969184875,0.6496528578947369,12944
joint,0.0001,0.4,0.941892683506012,0.7849386605263158,12944
activation_light,5e-05,0.0,0.9540684819221497,0.7881133250000001,22668
structured_light,0.0,0.2,0.9601069092750549,0.6366815985294118,17468
joint_light,5e-05,0.2,0.9510987997055054,0.7764876985294118,17468
