tag,reg,prune_target,accuracy,sparsity,params
baseline,0.0,0.0,0.9385349025974026,0.48674275173611115,23363
activation_only,3,0.0,0.952637987012987,0.7917121256510417,23363
structured_only,0.0,0.4,0.9343952922077922,0.45513058753654967,17370
joint,3,0.4,0.9442573051948052,0.7462687100237573,17370
activation_light,1.5,0.0,0.9373376623376624,0.7296039659288195,23363
structured_light,0.0,0.2,0.9335430194805194,0.4732836088231366,20330
joint_light,1.5,0.2,0.9400568181818182,0.7080338057558759,20330
