akida_accuracy,float_accuracy,latency_ms,qat_accuracy,reg,reg_type,sparsity
0.9045,0.9529,,0.9057,5e-05,l1l2,0.7226
0.8871,0.9509,,0.8866,0.0001,l1l2,0.7355
0.7892,0.9235,,0.7893,0.0003,l1l2,0.7593
